time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place
2013-08-28T12:32:48.900Z,37.6623,-118.941,4.7,1.6,Md,,82.8,0,0.06,nc,nc72058281,2013-08-28T15:28:10.291Z,"3km ENE of Mammoth Lakes, California"
2013-08-28T10:59:44.000Z,59.9262,-141.2163,0.1,1.6,Ml,,,,1.1,ak,ak10791458,2013-08-28T11:08:35.976Z,"69km ESE of Cape Yakataga, Alaska"
2013-08-28T10:55:19.000Z,59.7971,-153.3406,121,1.9,Ml,,,,0.12,ak,ak10791455,2013-08-28T11:00:06.427Z,"83km SSW of Redoubt Volcano, Alaska"
2013-08-28T10:34:38.300Z,35.3393,-117.9188,4.2,1.7,Ml,36,46.8,0.08983153,0.25,ci,ci15398569,2013-08-28T10:45:05.175Z,"24km NNE of California City, California"
2013-08-28T10:33:39.730Z,37.1853,-117.2727,9.71,2.3,ml,36,115,0.124,0.19,nn,nn00421619,2013-08-28T10:37:55.982Z,"55km NW of Beatty, Nevada"
2013-08-28T10:21:13.000Z,59.911,-153.1825,136.1,2.4,Ml,,,,0.69,ak,ak10791446,2013-08-28T10:26:55.948Z,"68km SSW of Redoubt Volcano, Alaska"
2013-08-28T10:07:55.000Z,60.6367,-147.0078,23.2,2.1,Ml,,,,1.06,ak,ak10791440,2013-08-28T10:16:03.150Z,"65km SSW of Valdez, Alaska"
2013-08-28T10:06:08.200Z,48.4663,-125.3108,0,1,Md,,234,0.38627557,0.49,uw,uw60580847,2013-08-28T14:19:52.002Z,"51km WNW of Neah Bay, Washington"
2013-08-28T09:51:40.300Z,36.1547,-118.0687,3.5,1.5,Ml,8,158.4,0.17966306,0.05,ci,ci15398553,2013-08-28T09:54:34.088Z,"50km S of Lone Pine, California"
2013-08-28T09:50:19.200Z,36.1545,-118.0725,0.8,1.4,Ml,17,82.8,0.17966306,0.13,ci,ci15398545,2013-08-28T10:00:39.820Z,"50km S of Lone Pine, California"
2013-08-28T09:46:25.100Z,40.1867,-121.0618,5.4,2,Md,,122.4,0.01796631,0.06,nc,nc72058226,2013-08-28T17:33:09.726Z,"10km WNW of Greenville, California"
2013-08-28T09:39:20.000Z,35.3368,-117.9187,5.3,1.5,Ml,18,54,0.08983153,0.33,ci,ci15398537,2013-08-28T09:41:57.570Z,"24km NNE of California City, California"
2013-08-28T09:35:27.000Z,63.4878,-146.0703,5.4,1.3,Ml,,,,0.59,ak,ak10791433,2013-08-28T09:42:04.895Z,"60km SW of Deltana, Alaska"
2013-08-28T08:56:37.300Z,35.3393,-117.916,5,1.5,Ml,17,75.6,0.08983153,0.2,ci,ci15398521,2013-08-28T08:59:36.521Z,"24km NNE of California City, California"
2013-08-28T08:49:15.970Z,-7.6313,128.2417,191.06,4.6,mb,25,55,3.05,0.91,us,usb000jcj5,2013-08-28T16:51:45.269Z,"Kepulauan Barat Daya, Indonesia"
2013-08-28T08:48:39.000Z,62.8913,-150.6277,88.2,2.5,Ml,,,,0.47,ak,ak10791421,2013-08-28T09:00:43.814Z,"68km NNW of Talkeetna, Alaska"
2013-08-28T08:37:53.100Z,34.004,-117.1647,4.9,1.1,Ml,16,82.8,0.10779783,0.25,ci,ci15398513,2013-08-28T08:40:39.393Z,"5km SSE of Redlands, California"
2013-08-28T08:29:07.900Z,35.3498,-117.9213,2.8,1.4,Ml,14,79.2,0.09881468,0.24,ci,ci15398505,2013-08-28T08:31:28.282Z,"25km NNE of California City, California"
2013-08-28T08:27:37.500Z,19.417,-155.2937,3.2,1.8,Md,,151.2,0.00898315,0.28,hv,hv60550361,2013-08-28T08:30:29.261Z,"6km WSW of Volcano, Hawaii"
2013-08-28T08:25:32.800Z,37.4108,-118.6087,12.7,1.2,Md,,280.8,0.08084838,0.05,nc,nc72058191,2013-08-28T17:44:05.973Z,"14km WNW of West Bishop, California"
2013-08-28T08:23:50.000Z,61.7323,-149.7918,34.4,1.2,Ml,,,,0.26,ak,ak10791412,2013-08-28T08:29:00.691Z,"11km N of Houston, Alaska"
2013-08-28T08:22:50.600Z,35.3405,-117.9222,8.1,1.8,Ml,12,82.8,0.09881468,0.14,ci,ci15398497,2013-08-28T08:25:42.579Z,"24km NNE of California City, California"
2013-08-28T08:18:26.400Z,18.9587,-67.1869,65,2.5,Md,7,255.6,0.49407341,0.21,pr,pr13240003,2013-08-28T08:32:06.870Z,"52km N of San Antonio, Puerto Rico"
2013-08-28T07:57:54.000Z,60.5417,-140.0219,39.9,2.2,Ml,,,,0.73,ak,ak10791408,2013-08-28T08:04:04.874Z,"112km N of Yakutat, Alaska"
2013-08-28T07:57:18.300Z,41.8267,139.914,159.75,4.5,mb,41,110,2.43,0.46,us,usb000jciu,2013-08-28T15:59:52.643Z,"61km W of Kamiiso, Japan"
2013-08-28T07:49:12.000Z,61.5578,-150.5493,30.4,1.5,Ml,,,,0.35,ak,ak10791405,2013-08-28T07:57:09.258Z,"Southern Alaska"
2013-08-28T07:42:25.400Z,48.6068,-122.6292,14.1,1.1,Md,,79.2,0.1527136,0.09,uw,uw60580827,2013-08-28T14:07:00.583Z,"10km N of Anacortes, Washington"
2013-08-28T07:40:31.800Z,33.2162,-115.5088,2.5,1.6,Ml,24,136.8,0.03593261,0.31,ci,ci15398473,2013-08-28T07:43:27.482Z,"2km SSE of Niland, California"
2013-08-28T07:39:54.700Z,34.0592,-117.2545,20.6,1.1,Ml,26,79.2,0.10779783,0.5,ci,ci15398465,2013-08-28T07:42:37.373Z,"1km NNE of Loma Linda, California"
2013-08-28T07:31:33.300Z,33.5163,-116.4463,9.7,1.1,Ml,14,100.8,0.09881468,0.07,ci,ci15398457,2013-08-28T07:34:16.224Z,"20km SW of La Quinta, California"
2013-08-28T07:18:22.700Z,35.3043,-82.4957,6,2.1,Md,12,79.2,0.20661252,0.16,se,se082813a,2013-08-28T12:48:53.448Z,"1km S of Laurel Park, North Carolina"
2013-08-28T07:14:51.300Z,17.8663,-67.1307,4,2.3,Md,5,298.8,0.13115403,0.31,pr,pr13240002,2013-08-28T07:39:49.213Z,"13km SSE of Pole Ojea, Puerto Rico"
2013-08-28T07:13:17.700Z,35.3315,-117.9143,9.7,1,Ml,18,54,0.08084838,0.17,ci,ci15398433,2013-08-28T18:23:34.698Z,"23km NNE of California City, California"
2013-08-28T07:05:11.000Z,61.8277,-148.595,36.8,1,Ml,,,,0.52,ak,ak10791393,2013-08-28T07:14:33.306Z,"13km ENE of Sutton-Alpine, Alaska"
2013-08-28T06:40:04.700Z,33.8453,-118.1613,5.4,1.8,Ml,21,79.2,0.03593261,0.39,ci,ci15398417,2013-08-28T06:42:55.118Z,"2km WSW of Lakewood, California"
2013-08-28T06:32:08.100Z,33.2125,-115.522,4.7,1.4,Ml,23,133.2,0.02694946,0.33,ci,ci15398409,2013-08-28T06:35:08.090Z,"3km S of Niland, California"
2013-08-28T05:57:44.400Z,38.7872,-122.779,2.2,1.2,Md,,115.2,0.01796631,0.06,nc,nc72058121,2013-08-28T07:18:09.200Z,"2km WNW of The Geysers, California"
2013-08-28T05:47:55.000Z,63.4501,-148.9208,136.3,1.3,Ml,,,,1.54,ak,ak10791373,2013-08-28T05:56:46.615Z,"6km NNE of Cantwell, Alaska"
2013-08-28T05:45:10.700Z,33.1543,-115.6075,6.9,1.2,Ml,11,79.2,0.01796631,0.25,ci,ci15398377,2013-08-28T05:47:57.465Z,"9km WNW of Calipatria, California"
2013-08-28T05:43:24.960Z,-2.0655,100.7353,59.71,5.5,mb,100,50,2.4,1.15,us,usb000jci1,2013-08-28T06:29:07.170Z,"72km W of Sungaipenuh, Indonesia"
2013-08-28T05:36:58.000Z,33.187,-115.5327,8.2,1.3,Ml,14,198,0.00898315,0.22,ci,ci15398369,2013-08-28T05:39:37.540Z,"6km SSW of Niland, California"
2013-08-28T05:34:47.100Z,38.7665,-122.717,2.9,1.3,Md,,75.6,0.00898315,0.07,nc,nc72058106,2013-08-28T10:44:07.851Z,"3km ESE of The Geysers, California"
2013-08-28T05:32:08.000Z,38.754,-122.6927,2.1,1,Md,,144,0.00898315,0.06,nc,nc72058101,2013-08-28T05:33:45.414Z,"6km W of Middletown, California"
2013-08-28T05:31:31.970Z,37.1523,-117.9267,7.26,1.22,ml,13,173,0.644,0.36,nn,nn00421604,2013-08-28T05:33:41.098Z,"32km E of Big Pine, California"
2013-08-28T05:26:48.400Z,33.952,-117.234,11.3,1.4,Ml,42,43.2,0.08084838,0.14,ci,ci15398353,2013-08-28T05:37:12.242Z,"1km N of Moreno Valley, California"
2013-08-28T05:24:55.200Z,33.2043,-115.485,4.9,1.2,Ml,11,248.4,0.05389892,0.14,ci,ci15398345,2013-08-28T05:27:31.082Z,"5km SE of Niland, California"
2013-08-28T05:24:08.800Z,38.767,-122.7143,2.3,1.2,Md,,57.6,0.00898315,0.07,nc,nc72058091,2013-08-28T06:43:10.309Z,"3km ESE of The Geysers, California"
2013-08-28T05:23:36.100Z,38.7572,-122.7202,2,1.1,Md,,100.8,0.01796631,0.08,nc,nc72058086,2013-08-28T05:25:15.382Z,"3km SE of The Geysers, California"
2013-08-28T05:21:23.200Z,38.7525,-122.702,2.1,1.4,Md,,154.8,0.01796631,0.08,nc,nc72058076,2013-08-28T06:32:14.081Z,"5km ESE of The Geysers, California"
2013-08-28T05:13:12.000Z,62.0628,-149.1238,23.8,1.5,Ml,,,,0.25,ak,ak10791357,2013-08-28T05:22:30.259Z,"32km NNW of Sutton-Alpine, Alaska"
2013-08-28T05:12:18.300Z,33.2395,-115.4838,6.9,1.3,Ml,12,255.6,0.07186522,0.13,ci,ci15398337,2013-08-28T05:15:03.509Z,"3km E of Niland, California"
2013-08-28T05:05:29.100Z,38.7592,-122.6998,0.2,1.1,Md,,86.4,0.00898315,0.13,nc,nc72058056,2013-08-28T10:14:09.353Z,"5km ESE of The Geysers, California"
2013-08-28T04:59:24.000Z,62.2442,-151.8978,82,1.9,Ml,,,,0.79,ak,ak10791349,2013-08-28T05:09:04.214Z,"93km W of Talkeetna, Alaska"
2013-08-28T04:56:42.000Z,63.1405,-148.953,77.2,1.5,Ml,,,,0.68,ak,ak10791346,2013-08-28T05:04:45.732Z,"27km S of Cantwell, Alaska"
2013-08-28T04:51:49.000Z,61.4167,-150.6628,44.1,2.6,Ml,,,,0.76,ak,ak10791342,2013-08-28T05:00:22.498Z,"39km WSW of Big Lake, Alaska"
2013-08-28T04:46:47.000Z,38.7563,-122.7003,2.9,1.3,Md,,136.8,0.00898315,0.09,nc,nc72057996,2013-08-28T05:34:12.493Z,"5km ESE of The Geysers, California"
2013-08-28T04:44:53.300Z,38.7642,-122.7132,1.1,2.1,Md,,43.2,0.00898315,0.07,nc,nc72057991,2013-08-28T17:59:45.867Z,"4km ESE of The Geysers, California"
2013-08-28T04:44:19.500Z,38.7515,-122.71,3.2,1.5,Md,,190.8,0.00898315,0.02,nc,nc72057976,2013-08-28T08:47:09.415Z,"4km SE of The Geysers, California"
2013-08-28T04:43:05.000Z,38.7635,-122.7135,1.7,3.8,Mw,,36,0.00898315,0.09,nc,nc72057971,2013-08-28T16:28:36.783Z,"4km ESE of The Geysers, California"
2013-08-28T04:06:44.000Z,62.7998,-149.7023,27.3,1.2,Ml,,,,0.97,ak,ak10791328,2013-08-28T04:15:38.713Z,"57km NNE of Talkeetna, Alaska"
2013-08-28T03:40:35.640Z,-21.2887,-179.1228,575.78,4.7,mb,67,40,8,1.07,us,usb000jch0,2013-08-28T11:43:12.287Z,"83km SSW of Ndoi Island, Fiji"
2013-08-28T03:38:45.000Z,60.4825,-148.2704,42.7,1.4,Ml,,,,0.81,ak,ak10791313,2013-08-28T03:46:15.521Z,"39km SE of Whittier, Alaska"
2013-08-28T03:36:58.000Z,63.3015,-149.3409,85.7,1.3,Ml,,,,0.52,ak,ak10791311,2013-08-28T03:41:47.265Z,"21km WSW of Cantwell, Alaska"
2013-08-28T03:17:50.440Z,7.8307,-39.1863,9.99,4.8,mb,29,115,13.96,1.22,us,usb000jcgs,2013-08-28T11:20:24.721Z,"Central Mid-Atlantic Ridge"
2013-08-28T03:14:33.900Z,33.3537,-116.4023,7.5,1.2,Ml,11,100.8,0.03593261,0.05,ci,ci15398321,2013-08-28T03:17:35.442Z,"11km NNW of Borrego Springs, California"
2013-08-28T03:08:45.000Z,60.4372,-142.6569,36.9,1.9,Ml,,,,0.27,ak,ak10791298,2013-08-28T03:17:47.330Z,"43km NNW of Cape Yakataga, Alaska"
2013-08-28T03:06:23.300Z,40.5635,-122.4967,21.2,2.5,Md,,151.2,0.38627557,0.2,nc,nc72057926,2013-08-28T08:17:05.943Z,"3km S of Shasta, California"
2013-08-28T03:05:27.000Z,64.7071,-147.3383,2.1,1.7,Ml,,,,0.81,ak,ak10791286,2013-08-28T03:13:45.988Z,"4km S of North Pole, Alaska"
2013-08-28T02:54:41.920Z,-27.7953,179.6722,488.61,6.1,Mwp,136,31,2.56,1.48,us,usb000jcfu,2013-08-28T15:07:49.686Z,"288km NW of Raoul Island, New Zealand"
2013-08-28T02:29:54.600Z,34.0137,-118.3552,9.2,2.2,Ml,37,43.2,0.02694946,0.49,ci,ci15398305,2013-08-28T15:40:35.732Z,"2km NNW of View Park-Windsor Hills, California"
2013-08-28T02:26:27.300Z,34.0732,-118.8452,1.8,1.9,Ml,17,126,0.07186522,0.37,ci,ci15398289,2013-08-28T10:29:03.534Z,"8km NNW of Malibu, California"
2013-08-28T01:47:32.600Z,38.753,-122.6963,1.7,1.2,Md,,176.4,0.01796631,0.05,nc,nc72057881,2013-08-28T05:34:12.492Z,"5km ESE of The Geysers, California"
2013-08-28T01:37:48.700Z,33.5083,-116.4552,10.8,1.2,Ml,14,100.8,0.09881468,0.08,ci,ci15398281,2013-08-28T01:40:48.781Z,"20km ESE of Anza, California"
2013-08-28T01:34:56.505Z,39.8179,-119.5056,14.146,2.7,ml,24,136,0.142,0.1531,nn,nn00421583,2013-08-28T04:35:24.695Z,"25km NE of Spanish Springs, Nevada"
2013-08-28T01:15:29.700Z,18.4995,-67.3385,16,3,Md,21,180,0.2173923,0.55,pr,pr13240001,2013-08-28T02:00:17.958Z,"19km NNW of Rincon, Puerto Rico"
2013-08-28T01:12:35.130Z,37.3722,-117.0692,0.06,1.63,ml,30,114,0.169,0.2,nn,nn00421576,2013-08-28T01:15:10.713Z,"40km SSE of Goldfield, Nevada"
2013-08-28T00:59:19.401Z,39.6649,-119.6881,13.3178,1.52,ml,27,74,0.133,0.1186,nn,nn00421569,2013-08-28T01:39:55.831Z,"2km NE of Spanish Springs, Nevada"
2013-08-28T00:43:20.900Z,33.2428,-115.48,7.6,1.5,Ml,9,309.6,0.07186522,0.11,ci,ci15398257,2013-08-28T00:46:04.161Z,"3km E of Niland, California"
2013-08-28T00:33:39.000Z,61.2834,-151.5631,88.5,1,Ml,,,,0.58,ak,ak10791251,2013-08-28T00:38:26.910Z,"67km NNW of Nikiski, Alaska"
2013-08-28T00:31:08.100Z,33.178,-115.5423,1,1.7,Ml,12,169.2,0.01796631,0.14,ci,ci15398249,2013-08-28T00:34:02.703Z,"6km NNW of Calipatria, California"
2013-08-28T00:30:49.400Z,33.2393,-115.5048,2.6,1.4,Ml,16,183.6,0.06288207,0.27,ci,ci15398241,2013-08-28T00:33:37.647Z,"1km E of Niland, California"
2013-08-28T00:25:41.000Z,52.6776,-166.7059,4.8,2.5,Ml,,,,0.5,ak,ak10791247,2013-08-28T18:22:50.721Z,"133km S of Unalaska, Alaska"
2013-08-28T00:25:17.900Z,33.1903,-115.5265,4.5,1,Ml,15,97.2,0.01796631,0.1,ci,ci15398233,2013-08-28T17:40:52.093Z,"5km S of Niland, California"
2013-08-28T00:12:51.000Z,18.0715,-66.9639,7,2.4,Md,12,122.4,0.12666246,0.37,pr,pr13240000,2013-08-28T00:43:48.222Z,"0km SSW of Sabana Grande, Puerto Rico"
2013-08-28T00:08:48.000Z,62.1813,-148.0985,10,1.4,Ml,,,,0.35,ak,ak10791239,2013-08-28T00:16:16.392Z,"58km NE of Sutton-Alpine, Alaska"
2013-08-27T23:53:15.500Z,18.2926,-67.6695,13,3,Md,14,169.2,0.56593863,0.55,pr,pr13239011,2013-08-28T04:30:39.214Z,"44km W of Rincon, Puerto Rico"
2013-08-27T23:53:07.780Z,28.3976,99.0899,10.34,4.5,mb,45,115,7.04,0.71,us,usb000jcfh,2013-08-28T07:55:47.622Z,"14km SSE of Shengping, China"
2013-08-27T23:36:46.186Z,39.6707,-119.6792,14.1661,1.58,ml,26,74,0.139,0.1251,nn,nn00421561,2013-08-28T07:39:24.361Z,"3km NE of Spanish Springs, Nevada"
2013-08-27T23:23:12.500Z,35.0367,-117.6792,0,1.4,Ml,23,68.4,0.09881468,0.26,ci,ci15398217,2013-08-28T17:30:15.825Z,"0km N of Quarry at BORON"
2013-08-27T23:22:22.000Z,63.2142,-150.5625,121.5,1.6,Ml,,,,0.44,ak,ak10791203,2013-08-27T23:32:32.548Z,"83km WSW of Cantwell, Alaska"
2013-08-27T23:22:05.600Z,3.8473,-76.7436,63.9,4.7,mb,53,137,2.61,1.05,us,usb000jcf8,2013-08-28T12:31:19.574Z,"21km NNW of Dagua, Colombia"
2013-08-27T23:16:46.000Z,64.9577,-147.452,0,1.3,Ml,,,,0.55,ak,ak10791197,2013-08-27T23:27:18.136Z,"17km NNE of Badger, Alaska"
2013-08-27T23:02:58.400Z,35.3365,-117.9152,9.9,1.2,Ml,12,100.8,0.08983153,0.16,ci,ci15398209,2013-08-28T17:23:30.008Z,"24km NNE of California City, California"
2013-08-27T22:57:27.000Z,61.5613,-149.3207,36.5,2.3,Ml,,,,0.86,ak,ak10791181,2013-08-27T23:17:03.466Z,"4km WSW of Gateway, Alaska"
2013-08-27T22:55:06.200Z,38.8095,-122.811,2.4,2.2,Md,,28.8,0.00898315,0.07,nc,nc72057826,2013-08-28T07:02:07.430Z,"5km NW of The Geysers, California"
2013-08-27T22:45:01.400Z,33.1943,-115.5207,4.5,1.3,Ml,21,86.4,0.01796631,0.12,ci,ci15398193,2013-08-28T17:18:16.781Z,"5km S of Niland, California"
2013-08-27T22:40:48.000Z,17.8815,-67.1259,4,2.3,Md,9,288,0.11678099,0.18,pr,pr13239010,2013-08-27T23:29:49.349Z,"12km SSE of Pole Ojea, Puerto Rico"
2013-08-27T22:39:32.000Z,61.1044,-147.0553,19.2,1.5,Ml,,,,0.97,ak,ak10791165,2013-08-27T22:46:31.518Z,"38km W of Valdez, Alaska"
2013-08-27T22:39:18.700Z,35.4905,-118.294,2.2,1,Ml,8,140.4,0.13474729,0.07,ci,ci15398185,2013-08-28T17:16:14.146Z,"19km S of Weldon, California"
2013-08-27T22:30:40.400Z,38.8078,-122.8115,2.2,1.9,Md,,82.8,0.00898315,0.06,nc,nc72057781,2013-08-28T01:54:10.305Z,"5km NW of The Geysers, California"
2013-08-27T22:13:53.900Z,33.195,-115.518,4.5,1.1,Ml,17,86.4,0.02694946,0.04,ci,ci15398177,2013-08-28T17:08:00.502Z,"4km S of Niland, California"
2013-08-27T22:11:29.700Z,37.3978,-118.4718,12.6,1.2,Md,,86.4,0.04491576,0.05,nc,nc72057776,2013-08-28T16:51:09.827Z,"4km NNW of West Bishop, California"
2013-08-27T22:00:43.730Z,32.739,56.4129,15.09,4.7,mb,50,113,5.14,1.43,us,usb000jceq,2013-08-28T06:03:20.286Z,"106km SSW of Tabas, Iran"
2013-08-27T21:48:16.400Z,44.2895,-122.8535,0,1.2,Md,,118.8,0.13474729,0.22,uw,uw60580672,2013-08-27T23:37:06.257Z,"15km SW of Sweet Home, Oregon"
2013-08-27T21:41:33.000Z,63.2129,-150.6235,127.9,5.1,Ml,,,,0.48,ak,ak10791048,2013-08-28T16:25:41.362Z,"86km WSW of Cantwell, Alaska"
2013-08-27T21:40:52.200Z,33.1962,-115.5187,4.4,1.5,Ml,23,86.4,0.02694946,0.07,ci,ci15398145,2013-08-28T16:37:49.505Z,"4km S of Niland, California"
2013-08-27T21:40:10.600Z,33.006,-116.235,5.9,1.5,Ml,32,39.6,0.08983153,0.18,ci,ci15398137,2013-08-28T16:34:39.113Z,"30km SSE of Borrego Springs, California"
2013-08-27T21:39:17.000Z,38.8292,-122.8073,0.1,1,Md,,46.8,0.01796631,0.05,nc,nc72057761,2013-08-27T22:05:07.957Z,"7km W of Cobb, California"
2013-08-27T21:30:55.200Z,33.9568,-116.9433,17.3,1.1,Ml,23,100.8,0.08983153,0.12,ci,ci15398129,2013-08-28T16:29:13.465Z,"3km ESE of Cherry Valley, California"
2013-08-27T21:21:23.500Z,37.6537,-118.9432,3.9,1.2,Md,,75.6,0.00898315,0.07,nc,nc72057741,2013-08-28T16:40:08.558Z,"2km ENE of Mammoth Lakes, California"
2013-08-27T21:16:02.200Z,35.4868,-118.2942,3.6,1.2,Ml,22,46.8,0.13474729,0.12,ci,ci15398113,2013-08-28T00:16:55.675Z,"19km S of Weldon, California"
2013-08-27T20:58:08.000Z,60.7673,-147.9504,26.9,1.7,Ml,,,,1.09,ak,ak10791019,2013-08-27T21:05:07.404Z,"39km E of Whittier, Alaska"
2013-08-27T20:55:41.300Z,34.7733,-118.9198,15.5,2.1,Ml,41,46.8,0.05389892,0.17,ci,ci15398105,2013-08-27T23:59:53.649Z,"5km SSE of Frazier Park, California"
2013-08-27T20:47:58.940Z,-9.0662,123.2602,100.3,4.8,mb,77,61,1.1,1.26,us,usb000jccr,2013-08-28T04:50:38.309Z,"76km SE of Watubuku, Indonesia"
2013-08-27T20:44:57.840Z,28.2518,99.3325,43.22,5,mb,117,46,4.36,0.9,us,usb000jccs,2013-08-27T21:34:05.066Z,"3km WNW of Benzilan, China"
2013-08-27T20:37:00.000Z,60.0841,-152.6223,70,1.7,Ml,,,,,ak,ak10790840,2013-08-27T20:46:35.756Z,"45km S of Redoubt Volcano, Alaska"
2013-08-27T20:28:08.300Z,34.738,-116.4282,0,2.2,Ml,13,86.4,0.11678099,0.1,ci,ci15398097,2013-08-27T23:56:03.196Z,"1km SSW of Quarry at HECTOR"
2013-08-27T20:24:56.700Z,38.8262,-122.8662,2.7,1.6,Md,,82.8,0.00898315,0.06,nc,nc72057711,2013-08-28T00:34:06.203Z,"10km WNW of The Geysers, California"
2013-08-27T20:23:40.000Z,63.1908,-150.6004,114.4,1.5,Ml,,,,0.63,ak,ak10790796,2013-08-27T20:40:47.758Z,"85km WSW of Cantwell, Alaska"
2013-08-27T19:58:25.000Z,63.1401,-148.979,6.6,1.7,Ml,,,,0.55,ak,ak10790768,2013-08-27T20:06:15.546Z,"28km S of Cantwell, Alaska"
2013-08-27T19:57:34.100Z,39.649,-120.199,6.8,1.5,Md,,111.6,0.14373045,0.07,nc,nc72057686,2013-08-28T00:05:07.866Z,"19km W of Cold Springs, Nevada"
2013-08-27T19:51:43.410Z,8.8004,-82.9133,11.36,4.4,mb,9,239,3.06,1.08,us,usb000jcid,2013-08-28T06:56:45.716Z,"5km WSW of Rio Sereno, Panama"
2013-08-27T19:33:34.000Z,38.7863,-122.7375,1.9,1.6,Md,,50.4,0,0.07,nc,nc72057681,2013-08-27T23:40:10.022Z,"1km ENE of The Geysers, California"
2013-08-27T19:33:33.800Z,34.4042,-116.4817,5.9,1.5,Ml,24,140.4,0.11678099,0.15,ci,ci15398073,2013-08-27T19:36:39.501Z,"32km N of Yucca Valley, California"
2013-08-27T19:31:33.200Z,-3.2174,123.2817,30.03,4.6,mb,38,98,2.22,0.89,us,usb000jcb3,2013-08-28T03:34:06.417Z,"118km NE of Kendari, Indonesia"
2013-08-27T19:14:24.100Z,43.5068,-121.722,2.8,1.5,Md,,183.6,0.31441035,0.69,uw,uw60580582,2013-08-27T20:11:13.234Z,"25km SW of La Pine, Oregon"
2013-08-27T18:58:49.900Z,34.6368,-117.0867,0,1.5,Ml,9,194.4,0.20661252,0.17,ci,ci15398065,2013-08-28T00:21:06.163Z,"3km ENE of Quarry at VICTORVILLE"
